hash	date	scope	subject	what_broke	silent	how_noticed	regression	note
5d1930a8	2026-09-24	feel	fix(feel): はがきの日本語を文節で折り返す	表示・レイアウト	yes	不明	unknown	見出しの最後の1文字だけ2行目に落ちる
b2fc1564	2026-09-24	ehon	fix(ehon): 先読みの GPU 転送を積み上げず、めくり始めで 1 秒止まるのを防ぐ	性能	yes	機械の検査・テスト	unknown	本番計測で2回目のめくり初フレームが1秒止まる(先読み転送)
a7eb00ad	2026-09-23	cabin	fix(cabin): ゲート画面と HUD を 10 言語に対応させる	翻訳・多言語	yes	不明	unknown	言語切替してもゲート画面とHUDが日本語のまま
47b8184d	2026-09-23	hyaku	fix(hyaku): タイトル画面のあらすじと作品情報を 7 言語に対応させる	翻訳・多言語	yes	不明	unknown	英語で開いてもタイトル画面のあらすじ等が日本語のまま(itch.io公開で実害)
a10bfa2f	2026-09-23	(none)	fix: clarify the conditions in the video QC error-types figure	事実・データの誤り	unknown	不明	unknown	動画QCの誤り分類図の条件を明確化(図の差し替えのみ)
f34c08f3	2026-09-23	method	fix(method): C-2 の Shorts 再公開の時刻を実際の 10:05 に直す	事実・データの誤り	yes	不明	unknown	記事中のShorts再公開時刻を実際の10:05に
3f4e8ae6	2026-09-23	method	fix(method): C-2 の Shorts を再公開した動画に差し替え	リンク・導線	unknown	不明	no	Shortsを再公開した動画IDに差し替え(埋め込み・リンク)
5b34d1fd	2026-09-23	method	fix(method): C-2 の題と冒頭を全体像から入る形に直し、再投稿したX投稿に差し替え	その他	unknown	別エージェントのレビュー	no	記事の題と冒頭の構成変更、事実確認の指摘を反映
345bec91	2026-09-21	kototsugi	fix(kototsugi): 扇の札が重なって、狙った語と入る語が食い違っていた	操作・ゲームのロジック	yes	不明	unknown	扇の札が重なり狙った語と入る語が食い違う
af54712e	2026-09-21	kototsugi	fix(kototsugi): 弾かれた瞬間に、何なら通るかまで言う	操作・ゲームのロジック	unknown	不明	no	弾かれたときに何なら通るかを言う(UX改善)
081ad880	2026-09-20	seo	fix(seo): IndexNow の一括 POST が 403 のとき GET 形式に落とす	公開・デプロイ・キャッシュ	yes	不明	no	IndexNowの一括POSTが403で更新通知が一度も届いていなかった
d06f5361	2026-09-20	hitori	fix(hitori): 席の収集を試し、禁止サイトへ取りに行っていた欠陥を直す	その他	yes	作業中のエージェント自身の点検（追加区分）	no	取得側の禁止サイト一覧に抜けがあり食べログを417ページ取得していた
67baa505	2026-09-15	method	fix(method): A-9 の「12日で6回」を実測の2日半に訂正	事実・データの誤り	yes	不明	unknown	記事の「12日で6回」は実測2日半。期間を取り違え
ab28f122	2026-09-14	method	fix(method): 一覧のA-9カードを新しい見出しに合わせる	事実・データの誤り	yes	不明	yes	一覧カードが見出し変更に追随していなかった
b1a61f29	2026-09-14	method	fix(method): A-9 の見出しから専門語を外し、日数図の打ち切りバイアスを明記	その他	unknown	不明	no	記事の見出し・主張の強さの修正(打ち切りバイアス明記)
2d28da94	2026-09-13	kototsugi	fix(kototsugi): 波を割る — 泣きベンチ 40.5 → 54.8	見た目の質（デザイン・演出）	unknown	機械の検査・テスト	no	物語の山場の書き直し(泣きベンチ40.5→54.8)
ebb2a52a	2026-09-12	hitori	fix(hitori): 推薦は「いま開いている」を最優先にする	操作・ゲームのロジック	yes	不明	no	推薦で閉まっている博物館が上位に来ていた(並び順)
c1363bb6	2026-09-12	site	fix(site): トップと方法論記事の数値を実データに合わせる	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	yes	トップ・方法論記事の数値7か所が古い/誤り。11匹→実際10匹、達成カードの文面も誤り
68b9676a	2026-09-12	hitori	fix(hitori): 事実の更新が再訪者に届くようにし、トップの紹介文を現行に合わせる	公開・デプロイ・キャッシュ	yes	不明	yes	データ更新が再訪者に届かないキャッシュ版の不備＋無い機能(星座図)を紹介文が約束していた
5005e577	2026-09-12	hitori	fix(hitori): 利用条件の誤検出386件を外し、引用の裏取りを門に足す	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	利用条件の誤検出386件(女性専用フロア→女性専用施設など)。引用は本物で検査をすり抜け
bf3e6964	2026-09-12	hitori	fix(hitori): 食い違いの誤検出2,120件を外す。表記違いと料金の段を食い違いにしない	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	食い違いの誤検出2,120件(チルダ違い・料金の段など)
b76628d5	2026-09-11	hitori	fix(hitori): 過去のお知らせを現在の休業として扱っていたのを直し、閉業は既定で隠す	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	過去の臨時休業のお知らせを現在の休業として扱っていた(256件)
41d5c67b	2026-09-10	hitori	fix(hitori): 引用がページに無い事実461件を外し、変換方式の差と本当の不一致を分ける	事実・データの誤り	yes	機械の検査・テスト	no	引用が実ページに無い事実461件を照合で発見し除外
083ceadf	2026-09-10	hitori	fix(hitori): 閉業・休業の施設を一覧で普通の店に見せない	事実・データの誤り	yes	不明	no	閉業・休業の施設が一覧で普通の店として並んでいた
aca5b2da	2026-09-06	ai-map	fix(ai-map): 競技数学の2026年判定を5に揃える（校正の取りこぼし）	事実・データの誤り	yes	不明	yes	競技数学の2026年判定の校正の取りこぼし
6f8dd20e	2026-09-06	english	fix(english): 動画を差し替え版に更新し、9分の解説版を追加	音・声	yes	不明	unknown	四国めたんの語尾がずんだもんのものになっていた動画を差し替え
1580217a	2026-08-30	hitori	fix(hitori): make the mobile list readable at a glance	表示・レイアウト	yes	作業中のエージェント自身の点検（追加区分）	unknown	390px実測でカードが1枚しか収まらない等
0e03c9d3	2026-08-30	hitori	fix(hitori): explain how to open the page when loaded from file://	その他	unknown	不明	no	file://で開いたときの案内
445de981	2026-08-29	hitori	fix(hitori): correct overlay return, cache-busting, and map coverage	操作・ゲームのロジック	yes	別エージェントのレビュー	unknown	レビュー指摘まとめ(戻り先・キャッシュ剥がし・リンク)
6d9a7b5d	2026-08-29	hitori	fix(hitori): overlays return to the view they were opened from; stop running map animations before recentering	操作・ゲームのロジック	yes	不明	unknown	about から戻ると常にlistへ落ちる・Leafletが黙ってsetViewを捨てる
44b2a6af	2026-08-29	hitori	fix(hitori): keep load failures visible, open snapshot-only saved cards, and lift the selected pin above the sheet	操作・ゲームのロジック	yes	不明	unknown	読み込み失敗が見えなくなる・保存カードが開けない・ピンがシートの下(差分から)
ffc59050	2026-08-29	hitori	fix(hitori): mark conflicting fact rows with a warning-coloured left border	見た目の質（デザイン・演出）	yes	不明	no	食い違い行の視認性向上
7e83a1bb	2026-08-29	hitori	fix(hitori): default the visited date to the local calendar day	操作・ゲームのロジック	yes	不明	unknown	訪問日の既定を現地日付に
05e7db32	2026-08-29	hitori	fix(hitori): tappable cards, short fact chips, pins clear of the sheet, verified hours in the open-now filter	操作・ゲームのロジック	yes	別エージェントのレビュー	unknown	Review round 1 on task 8
030793fb	2026-08-29	hitori	fix(hitori): expand-radius treats an off-ladder radius as its first rung	操作・ゲームのロジック	unknown	不明	unknown	半径拡張の端数処理
5f3f2049	2026-08-29	seikai	fix(seikai): 台本が指定した表情が素の顔に落ちていた34箇所を修正	表示・レイアウト	yes	作業中のエージェント自身の点検（追加区分）	no	台本指定の表情が素の立ち絵に黙って落ちていた34箇所
187a86c2	2026-08-27	seo	fix(seo): 作品ページに本文を入れ、H1の重複と欠落を直す	その他	yes	作業中のエージェント自身の点検（追加区分）	no	作品ページのHTMLに本文ゼロ(SEO)。併せて「フルボイス」表記だが1周目の声は全て404で1本も鳴らなかった
dff99742	2026-08-26	seo	fix(seo): hitori.html に canonical が無かった	その他	yes	作業中のエージェント自身の点検（追加区分）	unknown	hitori.htmlだけcanonicalが欠落
adc1c251	2026-08-26	site	fix(site): 「次はこちら」の帯が作品の入口を塞いでいた	リンク・導線	yes	作業中のエージェント自身の点検（追加区分）	yes	同日追加の「次はこちら」帯が作品入口の最上部を塞いだ。最初の対処も効かず
fac50632	2026-08-26	niwa	fix(niwa): 開発用の入力パネルが本番で出たままだった	表示・レイアウト	yes	不明	unknown	開発用入力パネルが本番で表示されOGP画像にも写り込み
75adeb32	2026-08-26	ogp	fix(ogp): トップのOGP画像を現行のサイトに合わせて作り直す	事実・データの誤り	yes	不明	yes	トップのOGP画像が旧見出し・旧ブランド名・旧構成のまま。画像内の文字はgrepで見つからない
c1810fb1	2026-08-26	site	fix(site): 名乗っている数字を実体から数え直して直す	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	yes	名乗っている数字(ボイス本数・字数・研究ノート本数等)が実体とずれ。件数を直し忘れ
d3cbdd60	2026-08-26	site	fix(site): 『百の悪行』の所要時間を実測値に直す	事実・データの誤り	yes	不明	no	作品は「約30分」なのに紹介文に「10分」と書き、トップ・英語版へ広げていた(実測37分)
d102eef6	2026-08-26	seikai	fix(seikai): 計測のイベント名を game/ 付きに揃える	その他	yes	作業中のエージェント自身の点検（追加区分）	no	計測イベント名が2系統に割れていた。GoatCounter実データで気づく
145c009c	2026-08-26	seo	fix(seo): 英語版の入口ページがsitemapから漏れていた	公開・デプロイ・キャッシュ	yes	不明	no	英語版入口ページがsitemapから漏れていた
76559207	2026-08-26	site	fix(site): 最大の流入クラスタを外へ繋ぐ	リンク・導線	yes	作業中のエージェント自身の点検（追加区分）	no	最大の流入クラスタが外へ1本もリンクしていなかった
a5944077	2026-08-26	site	fix(site): 作品ページに「次はこちら」の横線を張る	リンク・導線	yes	作業中のエージェント自身の点検（追加区分）	no	作品ページ10枚が他作品への線を1本以下。帯がモーダル裏に隠れて押せない
373397d6	2026-08-26	top	fix(top): 研究ノートA-8をトップに掲載し、古い件数表記を直す	事実・データの誤り	yes	不明	yes	トップの研究ノート件数「全5本」のまま(実際9本)、新記事が未掲載
1ea3779e	2026-08-26	site	fix(site): 行き止まりの3ページにトップへの戻り導線を追加	リンク・導線	yes	作業中のエージェント自身の点検（追加区分）	no	トップへの戻りリンクが無い行き止まり3ページ
dcd14e2d	2026-08-24	kototsugi	fix(kototsugi): deploy retaken voice line	音・声	unknown	不明	unknown	撮り直した声1本を配置
0351c474	2026-08-24	index	fix(index): unify the solo-craft naming and drop the cards the merge left behind	リンク・導線	yes	不明	yes	2つのセクションを統合したマージでカード4枚が重複し、ナビが存在しないidを指したまま
73cf2a29	2026-08-23	hyaku	fix(hyaku): recast Mia with language-specific voices, fix two misreadings	音・声	yes	不明	no	Miaの声を言語別に差し替え、読み誤り2件(罹って→りって)
5a9b8a2f	2026-08-23	hyaku	fix(hyaku): deploy script.js with i18n beat indexes (ix)	翻訳・多言語	yes	不明	yes	7言語対応コミットからscript.jsが漏れ、本番で翻訳が効かず台詞が日本語のまま
f1c2a6af	2026-08-23	hyaku	fix(hyaku): reading guards seishi hakujou zouo itadaku, 18 lines re-burned	音・声	yes	不明	unknown	読みガード追加、18行再生成
685842a6	2026-08-23	hyaku	fix(hyaku): reading guards for idioms and homographs, 17 lines re-burned	音・声	yes	不明	unknown	慣用句・同形異音語の読みガード、17行再生成
750574bc	2026-08-23	hyaku	fix(hyaku): unify readings across voices (yamai, haigasumi, ordinals)	音・声	yes	不明	unknown	声ごとの読みの統一(病・灰霞・序数)
51015d41	2026-08-23	hyaku	fix(hyaku): unclip speaker nameplate, mute mia voice for now	表示・レイアウト	yes	不明	unknown	話者名札が切れて表示・Miaの声を一時ミュート
8e43333e	2026-08-17	kototsugi	fix(kototsugi): deploy the corrected voices	音・声	unknown	不明	unknown	修正した声を配置
8b871aef	2026-08-16	kototsugi	fix(kototsugi): deploy the ambience fix and the weave choreography	音・声	unknown	不明	unknown	環境音の修正を配置
73572375	2026-08-16	kototsugi	fix(kototsugi): a strained seam stays visible in the world	表示・レイアウト	unknown	不明	unknown	つなぎ目の表示(差分は数行)
43417e43	2026-08-16	kototsugi	fix(kototsugi): the mechanic picture heads the SYSTEM section	表示・レイアウト	unknown	不明	no	SYSTEM節の先頭に仕組みの絵を置く
224b14c7	2026-08-15	kototsugi	fix(kototsugi): the title screen can start the game	操作・ゲームのロジック	unknown	不明	unknown	タイトル画面からゲームを始められるようにする(ビルド成果物のみで詳細不明)
f30ba4a7	2026-08-15	kototsugi	fix(kototsugi): overlapping buttons, the name before the naming, and a cancellable drop	表示・レイアウト	yes	不明	unknown	ボタンの重なり・名付け前に名前が出る
d9fae531	2026-08-15	(none)	Fix storybook page transition freeze and refine guide voice	操作・ゲームのロジック	no	不明	unknown	絵本のページ遷移のフリーズ(紙めくり制御のスクリプトを丸ごと無効化して回避)
162df302	2026-08-15	shogi-puyo	fix(shogi-puyo): preserve garbage queue timing and enlarge controls	操作・ゲームのロジック	unknown	不明	unknown	おじゃまの時間を保つ・操作ボタン拡大
a3c72bb3	2026-08-15	kototsugi	fix(kototsugi): set a word down anytime, except the one the story needs	操作・ゲームのロジック	unknown	不明	unknown	言葉を置ける条件の調整
710b1bca	2026-08-13	(none)	Fix HUBHUB solo fact key	事実・データの誤り	yes	不明	unknown	事実のキーが"solo"で表示辞書の"solo_ok"と合わず(差分から)
7fe753c9	2026-08-13	hitori	fix(hitori): keep shared facility on map	操作・ゲームのロジック	yes	不明	unknown	共有リンクの施設が地図から外れる
0d004aee	2026-08-13	hitori	fix(hitori): enlarge mobile share actions	表示・レイアウト	unknown	不明	unknown	スマホの共有ボタンを大きく
50447a0a	2026-08-13	hitori	fix(hitori): avoid shared selection name collision	操作・ゲームのロジック	unknown	不明	yes	共有リンク処理の変数名衝突(同日3回目の共有リンク修正)
a8fa3ecd	2026-08-13	hitori	fix(hitori): select facility from shared link	操作・ゲームのロジック	yes	不明	yes	共有リンクから施設を選択(同日2回目)
6e6a1711	2026-08-13	hitori	fix(hitori): resolve shared facility after pref load	操作・ゲームのロジック	yes	不明	unknown	県データ読込後に共有施設を解決
a9f5f3ac	2026-08-12	hitori	fix(hitori): label conditions in Japanese	表示・レイアウト	yes	不明	unknown	利用条件のラベルを日本語に(生のキー表示)
d3472622	2026-08-12	hitori	fix(hitori): localize towel fact label	表示・レイアウト	yes	不明	unknown	タオルの事実ラベルが日本語化されていない
72070f72	2026-08-12	hitori	fix(hitori): correct sauna ooo verification date	事実・データの誤り	yes	不明	unknown	サウナの確認日の誤り(列ずれ)
778a3797	2026-08-12	hitori	fix(hitori): remove orphan curated entries	事実・データの誤り	yes	不明	unknown	施設と対応しない孤立した事実エントリを削除
3c9c4ff5	2026-08-12	hitori	fix(hitori): refresh static data on load	公開・デプロイ・キャッシュ	yes	不明	unknown	静的データを毎回取り直す(キャッシュ)
e6261db1	2026-08-12	hitori	fix(hitori): add resilient numbered location plot	表示・レイアウト	yes	不明	unknown	Leafletの読み込みのSRIハッシュが誤っており差し替え(地図の番号付きピン)
2f494d26	2026-08-12	hitori	fix(hitori): 朝日湯源泉ゆいるの同定を確定（あいる表記はOSMの誤記）	事実・データの誤り	yes	作者が見て	no	施設名(ゆいる/あいる)について作者から直接の訂正
d9422e56	2026-08-12	hitori	fix(hitori): cuisine=noodle の曖昧タグでラーメン店がそば・うどんに化けていた	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	曖昧なOSMタグでラーメン店826件がそば・うどんに化けていた
b22586cb	2026-08-12	hitori	fix(hitori): 保存した施設に「まだ調べていません」と出るのを直す	操作・ゲームのロジック	yes	不明	unknown	保存した施設に「まだ調べていません」と出て事実が非表示。最初の回帰テストも空振り
e9f3d007	2026-08-11	hitori	fix(hitori): 足湯・手湯146件を銭湯として出すのをやめる	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	足湯・手湯146件を銭湯として扱い、銭湯の作法ガイドまで付けていた
67bf3d2e	2026-08-11	hitori	fix(hitori): 掲載方針の説明で「独立した情報源」の語を残す	機能が消えた・置き換わった	no	機械の検査・テスト	yes	直前の文言書き換えで必須語が消えテストが落ちたが、tailで終了コードを見ずpushしていた
872e062d	2026-08-11	hitori	fix(hitori): 掲載方針の説明を実態に合わせる	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	「複数の独立した情報源で一致した事実だけ」と書いていたが実態は1,182/3,630件のみ(誇大表示)
78df2316	2026-08-11	hitori	fix(hitori): 集めた事実を画面に出す（141件が非表示、1,019件が生の英語だった）	表示・レイアウト	yes	作業中のエージェント自身の点検（追加区分）	unknown	集めた事実141件が一度も表示されず、1,019件が生の英語ラベルで出ていた
18364cf4	2026-08-10	hitori	fix(hitori): お気に入り表示中は絞り込みを押せなくする	操作・ゲームのロジック	yes	不明	unknown	お気に入り表示中に絞り込みボタンが押せて効いているように見えた
dfc2dfa0	2026-08-10	voice	fix(voice): 「何」の読み(なに/なん)の誤りを修正した2本を反映	音・声	yes	不明	yes	「何」の読み誤り修正した2本がコミットから漏れていた
57fd6b9e	2026-08-09	voice	fix(voice): 「でも見つかったよ」末尾に混入していた「で」を除去	音・声	yes	不明	no	ElevenLabs生成音声の末尾に台詞に無い「で」が混入。機械判定では検出不能
6737f4d6	2026-08-09	hitori	fix(hitori): 一覧で同じ紹介文が並ぶのをやめ、描画の重複計算を削る	見た目の質（デザイン・演出）	yes	作業中のエージェント自身の点検（追加区分）	no	一覧で同じ紹介文が全カードに並ぶ・描画の重複計算
58d5223d	2026-08-09	hitori	fix(hitori): チェーン印261種類を一件ずつ監査し、県境の二重掲載を解消	事実・データの誤り	yes	別エージェントのレビュー	no	チェーン印261種を監査し66種が独立店・12種は店名ですらなかった・県境二重掲載
9bb42b83	2026-08-09	hitori	fix(hitori): レビュー指摘の Critical 4件と Important を修正	事実・データの誤り	yes	別エージェントのレビュー	yes	外部レビューで自分が入れた回帰(松屋製麺所→牛丼、滞在2時間→「2分まで」を確認済み事実として表示)
c1fd6310	2026-08-08	hitori	fix(hitori): 古い情報と黙殺されていた閉業を表示し、カードを設計し直す	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	裏付け1件の閉業が完全に無視され2022年閉店の店が平常どおり並ぶ等
befa0301	2026-08-08	hitori	fix(hitori): 穴場の説明が誤解を招いていたのを直し、根拠を辿れるようにする	事実・データの誤り	yes	不明	no	穴場の説明文が逆の意味に読めた
6fea804e	2026-08-08	hitori	fix(hitori): research_queue が削除済みの score 列を参照して落ちていたのを直す	その他	no	不明	yes	削除済みscore列を参照してKeyErrorで落ちる(テストは架空データで見逃し)
c2d8002e	2026-08-08	hitori	fix(hitori): 3軸の値1にラベルが無く尻切れになるのを直す	表示・レイアウト	yes	不明	unknown	3軸の値1にラベルが無く尻切れ
7dd0fa6b	2026-08-08	hitori	fix(hitori): resolve phase2A final-review defects (C1-C3, I4-I11, minor)	操作・ゲームのロジック	yes	別エージェントのレビュー	unknown	最終レビュー: 「undefinedm」・徒歩NaN分で方角まで捏造等
fb5dbe67	2026-08-08	hitori	fix(hitori): 全画面カードが画面外にあった問題を直す	表示・レイアウト	yes	作業中のエージェント自身の点検（追加区分）	unknown	全画面カードが画面外(スクリーンショットで確認)
0566904f	2026-08-08	hitori	fix(hitori): 件数と取得失敗をデッキでも出す／デッキのテストをmain()に配線	テスト・検査そのもの	yes	不明	unknown	デッキのテスト3件が定義だけでmain()から呼ばれず一度も実行されていなかった
cd04d111	2026-08-07	hitori	fix(hitori): 括弧書きの駅名を維持したまま種別マーカーの重複を防ぐ	表示・レイアウト	yes	不明	unknown	括弧書き駅名のマーカー重複(直前の修正の手直し)
7e6da14a	2026-08-07	hitori	fix(hitori): 駅・市区町村の候補一覧で種別マーカーが名称と重複しないようにする	表示・レイアウト	yes	不明	unknown	「別府駅駅」「渋谷区市区町村」表示
5beb4c05	2026-08-07	hitori	fix(hitori): お気に入り詳細のundefined表示とMAX_ISO_M三重管理を解消	表示・レイアウト	yes	不明	unknown	お気に入り詳細に「undefinedm」表示・閾値の三重管理
d056f487	2026-08-07	hitori	fix(hitori): 知名度カウントがpref/未生成時に無言でn=0になるのを防ぐ	事実・データの誤り	yes	不明	no	実行順を誤ると知名度が黙って0になる
324beb59	2026-08-07	hitori	fix(hitori): 地名検索に知名度シグナルを追加し同名地名の誤順位を正す	操作・ゲームのロジック	yes	不明	no	「別府」で兵庫の無名駅が大分より先に出る
2872c5f9	2026-08-07	hitori	fix(hitori): お気に入り0件時のメッセージ分岐を到達可能にする	操作・ゲームのロジック	yes	不明	unknown	お気に入り0件時の分岐が到達不能
c7f3934c	2026-08-07	hitori	fix(hitori): 重複排除のクラスタリングを完全連結に修正	操作・ゲームのロジック	yes	不明	unknown	重複排除の連鎖(単連結→完全連結)。直前の修正の手直し
c0e8bd68	2026-08-07	hitori	fix(hitori): 検索インデックスの重複排除に距離条件を追加	事実・データの誤り	yes	不明	unknown	重複排除が事業者違いの同名別駅を消していた
1a6a86ed	2026-08-07	hitori	fix(hitori): 孤立度のリング打ち切り条件から誤ったMAX_ISO_M早期breakを削除	操作・ゲームのロジック	yes	不明	unknown	孤立度計算の誤った早期打ち切り、テストも誤実装で通っていた
09e3cd51	2026-08-05	hitori	fix(hitori): チェーン判定の修正を反映してデータを再ビルド	事実・データの誤り	yes	不明	no	チェーン判定修正後のデータ再ビルド
af857809	2026-08-05	hitori	fix(hitori): 全国タブのundefinedスコア・穴場閾値のずれ・裸座標リンク・チェーン誤検出を修正	表示・レイアウト	yes	不明	yes	削除済みフィールド参照で「ひとり度 undefined」、却下済みの旧閾値のまま出荷、テストがNaN比較で恒真
145cc6fe	2026-08-05	hitori	fix(hitori): キーボード開閉テストの隣接県読み込みレース待ちを追加	テスト・検査そのもの	no	機械の検査・テスト	no	テストの隣接県読み込みレース
20ce014e	2026-08-05	hitori	fix(hitori): 詳細シートのキーボードフォーカス管理を修正	操作・ゲームのロジック	yes	不明	unknown	詳細シートのキーボードフォーカス管理
a9508a6c	2026-08-05	hitori	fix(hitori): 検索一覧の取得失敗の隠蔽とタブ未起動を修正	操作・ゲームのロジック	yes	不明	unknown	取得失敗が「該当なし」に見え、タブ切替で一覧が永久に空のまま固まる
83df9a59	2026-08-05	hitori	fix(hitori): opening_hours の off/後続ルールが前方ルールを上書きしていなかった不具合を修正	操作・ゲームのロジック	yes	不明	unknown	営業時間ルールの上書き順の不具合
5591dab8	2026-08-05	hitori	fix(hitori): attribute threshold figures to their config, add CHAIN_BRANDS regression test	テスト・検査そのもの	unknown	別エージェントのレビュー	no	レビュー: 閾値コメントが2つの測定を混同、回帰テスト追加
50442dd3	2026-08-05	hitori	fix(hitori): add audited chain brands to CHAIN_BRANDS substring list	事実・データの誤り	yes	作業中のエージェント自身の点検（追加区分）	no	本物のチェーン店23か所が「穴場」として出ていた(監査で発見)
baf8d28d	2026-08-05	hitori	fix(hitori): promote multi-prefecture chains and lower gem threshold to 0.4	事実・データの誤り	yes	不明	no	チェーン判定の取りこぼしで本物のチェーンが穴場扱い
1d254e05	2026-08-05	hitori	fix(hitori): capsuleのeasyをsento基準で3に補正	事実・データの誤り	unknown	不明	no	カプセルホテルの入りやすさの値の補正
80db73d0	2026-08-02	x	fix(x): SNS導線を @ViewsEngineer に一本化	リンク・導線	yes	不明	unknown	X(Twitter)の導線が2アカウントに割れていた
833612a7	2026-08-02	koe	fix(koe): stop {bg,bgm} beats from silently dropping the BGM cue	音・声	yes	不明	unknown	beatにbgとbgmが同居するとBGMが黙って落ち、作品全体で2曲が一度も鳴っていなかった(ゲート6つは全部緑)
7b5c5a6a	2026-08-02	koe	fix(koe): refuse silently-lost beats, unknown keys and stale saves	テスト・検査そのもの	yes	別エージェントのレビュー	unknown	ブランチレビュー: 本文も声も出ない行があるのに監査ゲートはCLEANと報告
ccc38f62	2026-08-02	koe	fix(koe): fix round 2 — make the mono drift test actually read the engine	テスト・検査そのもの	yes	別エージェントのレビュー	yes	fix round 1で足したドリフトテストがエンジンを一度も読んでいなかった(修正の修正)
d6717c9b	2026-08-02	koe	fix(koe): fix round 1 — close nested-key, mono-audit and fail-open gaps	テスト・検査そのもの	yes	別エージェントのレビュー	unknown	レビュー: 入れ子のBGMキーが検査から見えず黙ってスキップ
5a09dbf6	2026-08-02	koe	fix(koe): readyState-check the asset-aware timeout, unblock hit-testing during the gate fade (review round 2)	操作・ゲームのロジック	yes	別エージェントのレビュー	unknown	レビュー round 2: タイムアウト判定・フェード中の当たり判定
975d81da	2026-08-02	koe	fix(koe): close ghost-click gap and hardening on the tap gate (review round 1)	操作・ゲームのロジック	yes	別エージェントのレビュー	unknown	レビュー round 1: ゴーストクリックで帰ってきた人のセーブが黙ってリセット、真っ黒画面
7b8e77f9	2026-08-02	koe	fix(koe): keep the missing-script path out of round completion	操作・ゲームのロジック	yes	別エージェントのレビュー	yes	直前の修正で台本取得失敗だけで2周目扱いになり地の文が別の声に(レビュー round 2)
1930f4c8	2026-08-02	koe	fix(koe): count every completion path toward round, assert narrator order	操作・ゲームのロジック	yes	別エージェントのレビュー	unknown	周回が1に固定され2周目トラックが永久に鳴らない
95977ba0	2026-08-02	koe	fix(koe): layer memflash above sprites, unify title reveal via showTitle()	表示・レイアウト	yes	別エージェントのレビュー	unknown	回想画像が立ち絵の下に隠れる・「つづきから」が押せない
2b50b96a	2026-08-02	making	fix(making): 制作記棚を実在する記事で組み直し、孤立していた技術ガイドを繋ぐ	事実・データの誤り	yes	不明	yes	前コミットで「制作記の実体がほぼゼロ」と誤判断し準備中にしていた(実際はnote18本)。技術ガイドも孤立
1f544b97	2026-08-02	koe	fix(koe): allowlist all four final-voice takes, not two	テスト・検査そのもの	yes	別エージェントのレビュー	unknown	許可リストが4本中2本だけ
82b5aabb	2026-08-02	koe	fix(koe): close audit false-clean gaps found in review round 1	テスト・検査そのもの	yes	別エージェントのレビュー	no	監査が偽のCLEANを出す穴4件(指示書のコードをそのまま写した欠陥)
